id;totalReg;anomalies;notAanomalie;meanValueAll;meanValue;stdValue;mediaValue;totalTime;dateDir;percentAnomaly;imptEngLoad;imptEngRPM;imptGndSpd;imptBaseCutPrs;imptBaseCutHght;imptChopperHydPrs;imptChopperRPM;imptAboveEngLoad;imptAboveEngRPM;imptAboveGndSpd;imptAboveBaseCutPrs;imptAboveBaseCutHght;imptAboveChopperHydPrs;imptAboveChopperRPM;anomalyAcumulate;totalAcumulate
50;97777;4166;93611;0,04460212308178821;0,23440045156428876;1,258533445763283;0,08369327169883209;68584;2024-07-31;4,3;70869,20261462126;93361,41999976974;52183,31419523853;50362,29859711702;53163,78795931174;47534,20422277594;59896,7146666442;8520,88744184141;49256,47846442351;8181,856486299572;5403,170536331137;5360,05845152134;5694,237992798674;13281,514186033384;374514;3448275
51;82749;4731;78018;0,04245599026691205;0,11241275696750817;0,22315811485308468;0,08033695400472955;51009;2024-08-01;5,7;50065,46525130058;53397,296891069345;43233,296972088705;40171,48911220514;67016,04637061075;40436,80665712129;49972,29112808442;5310,345975526571;14085,427305452853;5363,683527552314;4367,413895879142;10636,457909528162;5571,957436501389;6783,5397644611285;379245;3531024
52;106880;1888;104992;0,0357407204299756;0,23664642998737148;0,5369978251544417;0,09180750918416716;61137;2024-08-02;1,8;57562,98475085576;68774,6812565973;49523,17931620637;42934,95771722483;53558,557598146144;47763,883028502205;54238,639888942445;3405,4260593638187;21162,093957847894;4332,775263393556;2090,487776459286;4897,86508105669;3318,4788688409726;4578,142055021212;381133;3637904
53;71965;1055;70910;0,03446434132377565;0,13998781390707918;0,2387950197514339;0,08632133164538784;43621;2024-08-03;1,5;42038,47516542137;38220,213282357305;33022,35118194952;28010,275888021166;32946,91889286979;32839,41387123969;35984,531407962786;1776,7417573750058;5395,368736186413;1992,8261930250735;1078,8452785693642;1691,0139086127226;1259,354068235731;1279,190137848608;382188;3709869
54;98844;3690;95154;0,0403857443563621;0,18792672818013;0,4475038155188057;0,08888963013129134;61087;2024-08-04;3,7;66634,07744317812;73866,4195559623;51529,76420851304;42393,27937718781;50609,49369776611;50426,89006175308;55745,15014135008;6844,112198629562;28362,53335080763;6835,747043901706;4145,8142585527685;9393,263851215004;5033,667784664554;7342,924956727402;385878;3808713
55;93428;3714;89714;0,0421302339541239;0,15756596119874205;0,37465880226711223;0,0880326819763983;55024;2024-08-05;4,0;64700,007391600884;61345,69316501909;46995,81294958053;40830,079310742636;58504,92697533273;53268,71158224522;60096,83141634242;5918,510831753893;17991,27654172214;5520,001619313395;4248,825020484806;7935,597926455618;5892,048963999017;9843,337125699687;389592;3902141
56;69376;1910;67466;0,038367168284026115;0,23704199568430276;0,5677219673773504;0,08294307353324024;48193;2024-08-06;2,8;45400,70834705738;55776,51716557202;31625,73598070708;29599,158712899636;30140,03282224599;32847,893180407365;35462,499144626694;4034,65565236292;25076,76071036109;3298,8609971643173;2652,1110182297894;3989,0780150815563;2310,547611883344;3007,5067471047723;391502;3971517
57;99492;8911;90581;0,04378628338119489;0,11212607813818257;0,17054863635238154;0,08416460231866707;64860;2024-08-07;9,0;69537,83630349764;67837,17956549575;57078,91115089108;48971,82108906908;64330,81003885242;58122,141439019455;61047,0212170457;12785,991236975646;22926,81251918409;11358,338759732;9776,576524582619;17106,72510432222;10809,832695772791;13152,960423786464;400413;4071009
58;59199;5862;53337;0,052212220538031116;0,12600271240068547;0,22230120558817318;0,08553512189506816;38822;2024-08-08;9,9;60137,03380069054;46295,98047845612;34023,83484656324;37719,58159451001;37317,78387632355;42435,491168405955;44979,59611088311;11275,283076380032;18694,729751176255;6483,473986838952;8165,445051435578;6838,439614696036;9709,175445019853;11218,987283549472;406275;4130208
59;67846;16758;51088;0,06376697991895135;0,12165745683484902;0,3021634947888991;0,08525348476612828;46284;2024-08-12;24,7;72961,76738434042;65169,31664246945;49714,48748578069;52748,310474932645;65094,490604573584;55243,53897547557;63030,12385928635;27982,479320267492;39683,45840831593;20215,496022769992;20855,05675831914;34461,580047668926;25059,59839620194;31538,425887020145;423033;4198054
